"","ID.","NAME","Type","dvera","dwat","v1","v2","v3","v4","v5","v6","COLLAR","year","SPECIES"
"184",184,"520-2015",1,3.466532411,5.697245857,100,0,0,0,0,0,520,2015,1
"185",185,"520-2015",1,2.282655827,12.23761476,0,0,0,0,0,100,520,2015,1
"186",186,"520-2015",1,1.397887147,10.31031608,0,0,0,0,0,100,520,2015,1
"187",187,"520-2015",1,3.466532411,5.697245857,100,0,0,0,0,0,520,2015,1
"188",188,"520-2015",1,0.502497212,12.83114587,0,16,0,0,0,84,520,2015,1
"189",189,"520-2015",1,0.500718477,11.4420902,0,0,11,0,0,89,520,2015,1
"190",190,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"191",191,"520-2015",1,1.607211427,8.151311955,0,0,32,0,0,68,520,2015,1
"192",192,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"193",193,"520-2015",1,8.228232079,1.795008332,100,0,0,0,0,0,520,2015,1
"194",194,"520-2015",1,0.323900168,9.230394198,0,26,62,0,0,12,520,2015,1
"195",195,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"196",196,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"197",197,"520-2015",1,0.67927066,9.565154649,0,2,39,0,0,59,520,2015,1
"198",198,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"199",199,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"200",200,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"201",201,"520-2015",1,0.644675056,6.864710907,0,100,0,0,0,0,520,2015,1
"202",202,"520-2015",1,0.957382004,8.958569978,0,0,81,0,0,19,520,2015,1
"203",203,"520-2015",1,0.497556733,8.437784063,0,100,0,0,0,0,520,2015,1
"204",204,"520-2015",1,1.397879831,6.811321686,0,32,37,0,0,31,520,2015,1
"205",205,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"206",206,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"207",207,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"208",208,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"209",209,"520-2015",1,1.497570619,7.693680806,0,100,0,0,0,0,520,2015,1
"210",210,"520-2015",1,0.67927066,9.565154649,0,2,39,0,0,59,520,2015,1
"211",211,"520-2015",1,0.176800682,7.332834763,0,100,0,0,0,0,520,2015,1
"212",212,"520-2015",1,10.76935638,3.671256644,100,0,0,0,0,0,520,2015,1
"213",213,"520-2015",1,0.497556733,8.437784063,0,100,0,0,0,0,520,2015,1
"214",214,"520-2015",1,0.176800682,7.332834763,0,100,0,0,0,0,520,2015,1
"215",215,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"216",216,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"217",217,"520-2015",1,0.176800682,7.332834763,0,100,0,0,0,0,520,2015,1
"218",218,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"219",219,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"220",220,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"221",221,"520-2015",1,4.497637663,2.460740331,83,0,17,0,0,0,520,2015,1
"222",222,"520-2015",1,2.568446563,4.214048043,100,0,0,0,0,0,520,2015,1
"223",223,"520-2015",1,7.873504265,2.739327254,100,0,0,0,0,0,520,2015,1
"224",224,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"225",225,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"226",226,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"227",227,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"228",228,"520-2015",1,1.176812442,7.034149177,0,100,0,0,0,0,520,2015,1
"229",229,"520-2015",1,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"230",230,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"231",231,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"232",232,"520-2015",1,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"233",233,"520-2015",1,0.176800682,7.332834763,0,100,0,0,0,0,520,2015,1
"234",234,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"235",235,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"236",236,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"237",237,"520-2015",1,1.613283313,4.874315379,100,0,0,0,0,0,520,2015,1
"238",238,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"239",239,"520-2015",1,0.957382004,8.958569978,0,0,81,0,0,19,520,2015,1
"240",240,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"241",241,"520-2015",1,2.07464491,8.540333847,0,100,0,0,0,0,520,2015,1
"242",242,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"243",243,"520-2015",1,0.67927066,9.565154649,0,2,39,0,0,59,520,2015,1
"244",244,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"245",245,"520-2015",1,2.630779826,10.01655173,0,0,0,0,0,100,520,2015,1
"246",246,"520-2015",1,1.711805801,9.504114382,0,0,0,0,0,100,520,2015,1
"247",247,"520-2015",1,2.282669404,8.638047266,0,0,0,0,0,100,520,2015,1
"248",248,"520-2015",1,2.206952511,7.273296341,0,0,38,0,0,62,520,2015,1
"249",249,"520-2015",1,2.282669404,8.638047266,0,0,0,0,0,100,520,2015,1
"250",250,"520-2015",1,2.975461531,7.804045631,0,0,0,0,0,100,520,2015,1
"251",251,"520-2015",1,2.262526088,10.86478521,0,0,0,0,0,100,520,2015,1
"252",252,"520-2015",1,3.030473492,11.40381709,0,0,0,0,0,100,520,2015,1
"253",253,"520-2015",1,0.497517471,12.45394094,0,12,11,0,0,77,520,2015,1
"254",254,"520-2015",1,1.607201728,11.66247617,0,0,0,0,0,100,520,2015,1
"255",255,"520-2015",0,8.684247874,0.957251752,86,14,0,0,0,0,520,2015,1
"256",256,"520-2015",0,0.355338094,6.462657378,0,100,0,0,0,0,520,2015,1
"257",257,"520-2015",0,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"258",258,"520-2015",0,0.323915208,8.213551632,0,72,25,0,0,3,520,2015,1
"259",259,"520-2015",0,1.31270278,5.931825654,0,0,93,3,0,4,520,2015,1
