"","ï..id","sp","count1","count2","count3","count4","count5","count6","count7","count8","count9","count10","count11","count12","count13","count14","count15","count16","count17","count18","count.19","count.20","count.21","count.22","count.23","count.24","count.25","dvera_mean","dwat_mean","v1_sum","v2_sum","v3_sum","v4_sum","v5_sum","v6_sum","year","typeuse","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25"
"61","C188","ciervo",NA,NA,NA,NA,NA,NA,2,2,0,2,0,0,0,1,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,3.50253886765346,15.0063724825834,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"62","C188","gamo",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3.50253886765346,15.0063724825834,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"63","C188","jabali",NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,1,0,2,4,NA,NA,NA,NA,NA,NA,NA,3.50253886765346,15.0063724825834,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"64","C220","ciervo",NA,NA,NA,NA,NA,1,1,1,2,0,1,0,2,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,47.5742152868425,3.42962008032854,99,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"65","C220","gamo",NA,NA,NA,NA,NA,0,0,0,0,2,0,0,4,2,5,0,3,2,NA,NA,NA,NA,NA,NA,NA,47.5742152868425,3.42962008032854,99,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"66","C220","jabali",NA,NA,NA,NA,NA,4,5,10,9,5,3,5,5,2,8,4,6,6,NA,NA,NA,NA,NA,NA,NA,47.5742152868425,3.42962008032854,99,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,6,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"67","C222","ciervo",NA,NA,NA,NA,NA,NA,0,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5393717733519,5.92987144965213,28,72,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","C222","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5393717733519,5.92987144965213,28,72,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","C222","jabali",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5393717733519,5.92987144965213,28,72,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","C223","ciervo",1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5445574467134,6.83072925075577,31,69,0,0,0,0,0,2,1,2,3,4,5,6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","C223","gamo",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5445574467134,6.83072925075577,31,69,0,0,0,0,0,2,1,2,3,4,5,6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","C223","jabali",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5445574467134,6.83072925075577,31,69,0,0,0,0,0,2,1,2,3,4,5,6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","C224","ciervo",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,24.5577346134538,4.44646559208703,47,25,0,0,28,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"74","C224","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24.5577346134538,4.44646559208703,47,25,0,0,28,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"75","C224","jabali",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,24.5577346134538,4.44646559208703,47,25,0,0,28,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA
"76","C226","ciervo",NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,13.7628239498835,4.81794136665932,31,69,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"77","C226","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,13.7628239498835,4.81794136665932,31,69,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"78","C226","jabali",NA,NA,NA,NA,NA,NA,0,0,2,2,0,0,1,2,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,13.7628239498835,4.81794136665932,31,69,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"79","C242","ciervo",NA,NA,NA,NA,NA,2,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4133180069973,4.53758059235744,0,66,0,0,34,0,0,2,NA,NA,NA,NA,NA,6,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","C242","gamo",NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4133180069973,4.53758059235744,0,66,0,0,34,0,0,2,NA,NA,NA,NA,NA,6,7,8,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
